hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_12396	达官	名词，地位显赫的官员。
hw_synset_382	历届、历次	形容词，属性词。过去各次的。
hw_synset_7572	当前、今番、今个、时	形容词，现在的时间。
hw_synset_18630	中游	名词，水域的中间位置。
hw_synset_25894	垂直搜索	动词，在特定领域内进行的深度信息检索。
hw_synset_29020	广泛搜索	动词，在网络上查找各种信息。
hw_synset_27356	孤本	名词，仅有的书刊。
hw_synset_1799	乖乖、心肝、宝贝	名词，对孩子的亲昵称呼，表达爱与关心的情感。
hw_synset_2256	老古董、古董	名词，比喻思想或习惯陈旧的人或物品
hw_synset_21491	军婚	名词，军人之间的婚姻关系。
hw_synset_14292	边贸	名词，边境地区的商业交易。
hw_synset_2608	纪录、笔录、记录、笔记	名词，对信息或事件的书面记录和整理
hw_synset_420	凹、洼、低洼	形容词，比周围低的地形特征
hw_synset_513	鼓鼓囊囊、凸	形容词，形容物体因填充而隆起的状态
hw_synset_43945	车祸	名词，陆地交通事故导致伤亡的事件。
hw_synset_1609	苦处、灾患、灾害、事、灾祸	名词，与痛苦、灾难和意外事件相关的词汇。
hw_synset_36066	清议	名词，对政治事务的公开讨论。
hw_synset_29787	快车道	名词，供快速行驶的车道。
hw_synset_7410	茫茫、茫	形容词，模糊不清的状态。
hw_synset_41216	自行车道	名词，供自行车通行的专用道路。
hw_synset_2235	乡谈、方言、土语、土话	名词，特定地区使用的语言或方言形式
hw_synset_7424	大幅、大号	形容词，尺寸较大的物品。
hw_synset_595	娇小、细、微型、袖珍、短小	形容词，指体积、尺寸或数量较小的事物或状态
hw_synset_25169	喜酒	名词，婚礼上的庆祝宴席。
hw_synset_7659	僻静、静僻	形容词，安静且人迹罕至的地方。
hw_synset_3826	太平门、太平梯	名词，为便于疏散而设置的安全通道或出口
hw_synset_33983	枪	名词，发射弹药的武器。
hw_synset_2466	传记、传	名词，记录个人生平和经历的文字资料
hw_synset_14891	依违两可、未决定、依违不决、依违	动词，尚未做出明确决定的状态。
hw_synset_11547	大姑娘、大闺女	名词，未婚的年轻女性。
hw_synset_12560	妇、妇人	名词，已婚女性。
hw_synset_7251	亢、倨	形容词，傲慢自大的态度。
hw_synset_257	谦逊、虚心、谦恭、谦卑、平易	形容词，表现出谦虚、礼貌和接受他人意见的态度
hw_synset_5318	欢闹、欢腾、喜幸、乐意、欢喜	动词，带着愉快的情绪去做某件事；喜欢。
hw_synset_7447	圆活、圆柔	形容词，声音悦耳动听。
hw_synset_9530	特设委员会、特委	名词，专门设立的机构委员会。
hw_synset_14754	再接再厉、再接再励	动词，继续努力，奋发向前。
hw_synset_10830	例假、公休	名词，女性的生理周期或休息时间。
hw_synset_219	残败、零碎、零星、破败、破	形容词，形容事物不完整、零散或受损的状态
hw_synset_6915	全套、全份、一整套	形容词，完整的一组物品或内容。
hw_synset_12344	涂层、衣	名词，覆盖物或保护层。
hw_synset_2073	和事老、中间人	名词，在争端中调解和促成双方达成协议的人。
hw_synset_23159	南极圈	名词，地球南端的寒冷区域。
hw_synset_22845	北极	名词，地球最北端的地区。
hw_synset_6946	旦夕、旦夕之间	形容词，短时间内发生的事情。
hw_synset_6964	年深日久、年久日深、年深月久、年久月深	形容词，经过很长时间。
hw_synset_2059	糁、粞	名词，谷物加工后形成的颗粒状物质
hw_synset_15008	让、让给、让与	动词，转让或给予他人。
hw_synset_46081	陨石	名词，来自天体的石头。
hw_synset_14572	一步登天、平步青云、飞黄腾达、腾达	动词，迅速获得成功或地位。
hw_synset_2318	胶皮、橡胶、橡皮、皮、胶	名词，具有黏性或弹性的物质，广泛用于粘合和制品制造
hw_synset_2582	伙伴、伙计、拍档、同伙、伴当	名词，共同参与某种活动或合作的人
hw_synset_893	人杰、人尖子	名词，出类拔萃、特别优秀的人。
hw_synset_74	通、一致	形容词，同意，没有分歧。
hw_synset_26256	外	名词，在时间或空间之外的事物。
hw_synset_1994	内、里、中	名词，表示位置或范围的内部或里头的状态
hw_synset_36732	爆破手	名词，进行攻击的人。
hw_synset_37750	留守人员	名词，留在原地的人。
hw_synset_2196	彩票、博彩	名词，与赌博和抽奖相关的活动或证券
hw_synset_3521	物流、后勤	名词，支持和管理供应链及行政事务的工作
hw_synset_14430	骏马	名词，优质的牲畜，通常用于骑乘或比赛。
hw_synset_7103	疏淡、失和	形容词，关系疏远或不和谐。
hw_synset_68	梯己、亲、近乎、亲密、火热	形容词，亲密；亲近。
hw_synset_15322	历历在目、赫然在目	动词，清晰可见的景象。
hw_synset_12284	城建	名词，城市建设相关事务。
hw_synset_7023	够哥们儿、够义气、够交情、够朋友	形容词，关系亲密的朋友。
hw_synset_19493	今译	名词，当前语言的翻译。
hw_synset_1115	望、月轮、望月、满月	名词，与圆形月亮相关的天文现象
hw_synset_32648	旅鸟	名词，季节性迁徙的鸟类。
hw_synset_18804	主席团	名词，负责处理事务的团体。
hw_synset_10554	披着羊皮的狼、披着狼皮的羊	名词，伪装善良的恶人。
hw_synset_3538	酒肆、酒店、酒馆	名词，卖酒和下酒菜等的铺子。
hw_synset_17891	不厌	动词，不感到厌烦或反感。
hw_synset_14595	没兴趣、兴味索然、兴致索然	动词，对某事物缺乏兴趣或热情。
hw_synset_10417	岩盐、矿盐	名词，可食用的咸味矿物盐。
hw_synset_20830	克莫拉	名词，有罪的团体。
hw_synset_9836	陇	名词，中国的一个省份或地方。
hw_synset_28105	小型机	名词，小型计算机。
hw_synset_14517	胸中无数、心中无数	动词，对事物一无所知。
hw_synset_12145	园艺	名词，植物栽培与管理的知识与实践。
hw_synset_42196	街道办事处	名词，负责处理居民区事务的地方组织。
hw_synset_5090	浮泛、外露、现、显、绽露	动词，表现或显现出内在的状态或情感
hw_synset_45	短暂、急促、局促、短促、短	形容词，时间或空间上都显得不够长或急促的状态
hw_synset_43412	贬低者	名词，贬低他人的人。
hw_synset_47594	鼓吹者	名词，积极宣传某种观点或事物的人。
hw_synset_28532	左手	名词，人的左侧手部。
hw_synset_24827	吸墨纸	名词，用于吸收墨水的纸张。
hw_synset_4737	支解、枝解、剐、肢解	动词，将完整事物分割成几部分的行为或过程
hw_synset_5211	配搭、搭配	动词，将事物组合在一起以形成和谐的整体
hw_synset_8475	尼古丁	名词，一种有毒的化学物质，常见于烟草中。
hw_synset_40972	脱胶	动词，材料与粘合剂分离的状态。
hw_synset_44938	配料	动词，用于制作食品的成分。
hw_synset_564	响亮、洪亮、高亢、铿然、豁亮	形容词，形容声音响亮、清晰且有力的状态
hw_synset_43934	车技	名词，驾驶车辆的技巧。
hw_synset_20009	低音	名词，音调较低的声音。
hw_synset_18693	中音	名词，音调在低频范围的声音。
hw_synset_7560	无人居住、人迹罕至、渺无人迹、渺无人烟	形容词，人烟稀少的地方。
hw_synset_12394	大员	名词，高级官员或重要职位的人。
hw_synset_4750	迷失、迷	动词，失去方向或判断能力的状态
hw_synset_14697	尝到、省、了解到	动词，获得信息或体验。
hw_synset_109	飒爽、气冲霄汉、勇、顶天立地、骁勇	形容词，表现出勇气和强悍气概的状态或特质
hw_synset_32247	数据结构	名词，存储和组织信息的方式。
hw_synset_3492	赞礼、司仪	名词，主持仪式或活动的人，负责引导和组织。
hw_synset_14488	云消雾散、幻灭	动词，消失不见，幻影消散。
hw_synset_11868	双翅、双翼	名词，鸟类的两只翅膀。
hw_synset_33677	末代	名词，最后一个朝代的统治者。
hw_synset_3132	出纳、司库	名词，负责管理和处理财务事务的人
hw_synset_42467	西药	名词，源自欧洲的药物。
hw_synset_5457	敌视、仇视	动词，以敌对态度看待他人的情感状态
hw_synset_14527	爱不释手、爱不忍释	动词，非常喜欢，舍不得放下。
hw_synset_36415	火烧云	名词，夕阳映照下的彩色云朵。
hw_synset_1038	乙酸、醋酸	名词，有机化合物，化学式CH3COOH。无色的液体，有刺激性气味。是制造人造丝、电影胶片、阿司匹林等的原料。日常食用的醋中含有醋酸。
hw_synset_39611	糖尿病	名词，一种影响代谢的慢性疾病。
hw_synset_4238	犄角、角、角落	名词，物体边缘相接或凹陷的地方
hw_synset_36873	牧主	名词，饲养牲畜的主人。
hw_synset_224	背、晦气、不幸	形容词，遭遇不顺利或不吉利的状态
hw_synset_123	幸运、侥	形容词，运气好，事情顺利的状态或情况
hw_synset_4764	发慌、打鼓	动词，因不安而心神不定的状态
hw_synset_7868	娇痴、娇憨	形容词，天真无邪，显得可爱。
hw_synset_345	机智、鬼、聪敏、明慧、精灵	形容词，表现出聪明、机敏和灵活思维的特质
hw_synset_1542	长辈、长者、老辈、前辈	名词，年长或资历深的人，通常受人尊敬。
hw_synset_45658	门斗	名词，房屋内的隔断或小空间。
hw_synset_30230	慕尼黑	名词，德国的一座城市。
hw_synset_10165	从那之后、从此以后、从今以后	名词，从此以后的时间。
hw_synset_467	摇摇欲坠、风雨飘摇、岌岌	形容词，形势极其危险，随时可能崩溃或灭亡。
hw_synset_7113	万全、万无一失	形容词，绝对安全，毫无风险。
hw_synset_30044	悬念	名词，引发关注和不安的情感状态。
hw_synset_47657	龙骨	名词，鸟类的脊椎骨。
hw_synset_8800	八股	名词，一种传统的文体或格式。
hw_synset_7327	名实相符、名副其实	形容词，名声与实际相符。
hw_synset_253	虚妄、虚拟	形容词，不符合事实或缺乏真实依据的状态或概念
hw_synset_19917	伦理学	名词，研究道德与人类行为的学科。
hw_synset_5450	玷污、抹黑	动词，使事物变得不纯洁或有负面影响的行为
hw_synset_6532	渲染、鼓吹	动词，夸大或美化事物的表达方式
hw_synset_20363	信仰	名词，对某种宗教或理念的坚定信念。
hw_synset_2044	棉子、棉籽	名词，棉花的种子，常用于榨油。
hw_synset_7371	无根据、没边儿、无中生有、莫须有、凭空、子虚乌有、子虚、不真实、缥缈、平空、毫无根据	形容词，没有事实依据的虚假事物。
hw_synset_221	实在、确切、确凿、确实、道地	形容词，指符合实际、真实可信的状态或属性
hw_synset_963	喀斯特、岩溶	名词，可溶性岩石特别是碳酸盐类岩石受含有二氧化碳的流水溶蚀，并加上沉积作用而形成的地貌。形状奇特，有洞穴也有峭壁。由亚得里亚海岸的喀斯特(Karst)高地而得名。我国广西、云南、贵州等地多见这种地貌。
hw_synset_18284	专电	名词，特别发送的消息。
hw_synset_45079	里程碑	名词，重要的标志性事件或成就。
hw_synset_7079	倥偬、加急、亟	形容词，紧急需要处理的情况。
hw_synset_372	舒缓、弛缓、清爽、轻、宽舒	形容词，不紧张、轻松自在的状态或感觉
hw_synset_14764	闯、闯出	动词，努力尝试或突破。
hw_synset_2939	后父、后爹、继父	名词，再婚女性的丈夫，成为其子女的父亲角色
hw_synset_44922	酌加	动词，适度增加或考虑。
hw_synset_44920	酌减	动词，减少某项费用或惩罚的合理调整。
hw_synset_14699	看出来、看出	动词，识别或察觉到某事。
hw_synset_36510	点头之交	名词，关系疏远的朋友。
hw_synset_10482	好朋友、好友	名词，亲密的朋友。
hw_synset_425	背晦、悖晦、浑	形容词，指思维模糊、不清晰的状态
hw_synset_4811	耍弄、耍笑、作弄、撮弄、耍人	动词，以玩笑或戏弄的方式对待他人
hw_synset_5551	优容、宽待	动词，对他人表现出宽容和善待的态度
hw_synset_6174	过去、去	动词，离开当前位置前往其他地点的动作
hw_synset_15934	来、前来	动词，到达某地或某人身边。
hw_synset_8989	葛、葛藤	名词，一种药用植物，常用于中医。
hw_synset_18842	主题歌	名词，主要表演的音乐作品。
hw_synset_15750	典型化、集中体现	动词，表现出共同特征的事物。
hw_synset_15056	个体化、个性化	动词，使事物具有独特特征或风格。
